,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-09-17,468.1426121218114,-666.1837607354706,2131.905947503815,468.14261212181134,468.14261212181134,310.8455041426319,310.8455041426319,310.8455041426319,3.208377825799138,3.208377825799138,3.208377825799138,307.6371263168328,307.6371263168328,307.6371263168328,0.0,0.0,0.0,778.9881162644433
1,2014-09-18,467.5854485590094,-647.6724624795568,2107.5307850429035,467.5854485590094,467.5854485590094,270.72895739233803,270.72895739233803,270.72895739233803,-14.454500398847122,-14.454500398847122,-14.454500398847122,285.18345779118516,285.18345779118516,285.18345779118516,0.0,0.0,0.0,738.3144059513475
2,2014-09-19,467.02828499620745,-553.603139366591,2041.5102285636838,467.02828499620745,467.02828499620745,259.02008218977136,259.02008218977136,259.02008218977136,-2.583910391131613,-2.583910391131613,-2.583910391131613,261.60399258090297,261.60399258090297,261.60399258090297,0.0,0.0,0.0,726.0483671859788
3,2014-09-20,466.4711214334055,-720.8845923194186,2060.5791050766034,466.4711214334055,466.4711214334055,245.86472924056312,245.86472924056312,245.86472924056312,9.118442295364481,9.118442295364481,9.118442295364481,236.74628694519862,236.74628694519862,236.74628694519862,0.0,0.0,0.0,712.3358506739686
4,2014-09-21,465.91395787060355,-670.8199027573103,2054.3570171084793,465.91395787060355,465.91395787060355,202.34219462345214,202.34219462345214,202.34219462345214,-8.156843271897285,-8.156843271897285,-8.156843271897285,210.49903789534946,210.49903789534946,210.49903789534946,0.0,0.0,0.0,668.2561524940556
5,2014-09-22,465.3567943078016,-662.331364770761,1935.572486982223,465.3567943078016,465.3567943078016,195.84000624004497,195.84000624004497,195.84000624004497,13.041042655891665,13.041042655891665,13.041042655891665,182.79896358415334,182.79896358415334,182.79896358415334,0.0,0.0,0.0,661.1968005478466
6,2014-09-23,464.7996307449996,-746.2586980442179,2025.742725627703,464.7996307449996,464.7996307449996,153.46390972701727,153.46390972701727,153.46390972701727,-0.17260871523948587,-0.17260871523948587,-0.17260871523948587,153.63651844225674,153.63651844225674,153.63651844225674,0.0,0.0,0.0,618.2635404720169
7,2014-09-24,464.24246718219763,-752.3690801188166,1890.1694046956686,464.24246718219763,464.24246718219763,126.26860750005649,126.26860750005649,126.26860750005649,3.2083778258244835,3.2083778258244835,3.2083778258244835,123.060229674232,123.060229674232,123.060229674232,0.0,0.0,0.0,590.5110746822542
8,2014-09-25,463.68530361939565,-665.5056862327963,1945.6567286371583,463.68530361939565,463.68530361939565,76.72497331956622,76.72497331956622,76.72497331956622,-14.454500398830994,-14.454500398830994,-14.454500398830994,91.17947371839723,91.17947371839723,91.17947371839723,0.0,0.0,0.0,540.4102769389618
9,2014-09-26,463.1281400565936,-903.2590416756046,1863.9424812482498,463.1281400565936,463.1281400565936,55.58163920249156,55.58163920249156,55.58163920249156,-2.5839103911627226,-2.5839103911627226,-2.5839103911627226,58.16554959365428,58.16554959365428,58.16554959365428,0.0,0.0,0.0,518.7097792590852
10,2014-09-27,462.57097649379176,-810.5740018792824,1842.4038772687165,462.5709764937917,462.5709764937917,33.369392063228965,33.369392063228965,33.369392063228965,9.118442295375763,9.118442295375763,9.118442295375763,24.250949767853207,24.250949767853207,24.250949767853207,0.0,0.0,0.0,495.94036855702075
11,2014-09-28,462.01381293098973,-879.1747502841763,1791.1012077494966,462.01381293098973,462.01381293098973,-18.43006605292662,-18.43006605292662,-18.43006605292662,-8.156843271942462,-8.156843271942462,-8.156843271942462,-10.27322278098416,-10.27322278098416,-10.27322278098416,0.0,0.0,0.0,443.5837468780631
12,2014-09-29,461.45664936818775,-859.0390865368634,1697.743817234242,461.45664936818775,461.45664936818775,-32.02064891440671,-32.02064891440671,-32.02064891440671,13.041042655892594,13.041042655892594,13.041042655892594,-45.0616915702993,-45.0616915702993,-45.0616915702993,0.0,0.0,0.0,429.43600045378105
13,2014-09-30,460.8994858053858,-880.8405267827853,1667.4813836960022,460.8994858053858,460.8994858053858,-79.89385389484036,-79.89385389484036,-79.89385389484036,-0.17260871521474994,-0.17260871521474994,-0.17260871521474994,-79.72124517962563,-79.72124517962563,-79.72124517962563,0.0,0.0,0.0,381.0056319105454
14,2014-10-01,460.3423222425838,-1015.2709790382996,1677.2956699186984,460.3423222425838,460.3423222425838,-110.61029408641822,-110.61029408641822,-110.61029408641822,3.2083778258811155,3.2083778258811155,3.2083778258811155,-113.81867191229934,-113.81867191229934,-113.81867191229934,0.0,0.0,0.0,349.7320281561656
15,2014-10-02,459.78515867978183,-940.2924192448263,1637.3472038055295,459.78515867978183,459.78515867978183,-161.34473381759787,-161.34473381759787,-161.34473381759787,-14.454500398819608,-14.454500398819608,-14.454500398819608,-146.89023341877825,-146.89023341877825,-146.89023341877825,0.0,0.0,0.0,298.44042486218393
16,2014-10-03,459.2279951169799,-1026.6897106819106,1622.4789478889502,459.2279951169799,459.2279951169799,-181.03638168949888,-181.03638168949888,-181.03638168949888,-2.583910391168759,-2.583910391168759,-2.583910391168759,-178.45247129833012,-178.45247129833012,-178.45247129833012,0.0,0.0,0.0,278.191613427481
17,2014-10-04,458.67083155417794,-1104.8130760462643,1584.396010307996,458.67083155417794,458.67083155417794,-198.89565384136867,-198.89565384136867,-198.89565384136867,9.118442295387045,9.118442295387045,9.118442295387045,-208.01409613675568,-208.01409613675568,-208.01409613675568,0.0,0.0,0.0,259.7751777128093
18,2014-10-05,458.11366799137596,-1084.5028340840329,1653.073548133892,458.11366799137596,458.11366799137596,-243.245512823496,-243.245512823496,-243.245512823496,-8.1568432719168,-8.1568432719168,-8.1568432719168,-235.0886695515792,-235.0886695515792,-235.0886695515792,0.0,0.0,0.0,214.86815516787996
19,2014-10-06,457.556504428574,-987.2985770166773,1606.8417215404127,457.556504428574,457.556504428574,-246.1667152217811,-246.1667152217811,-246.1667152217811,13.041042655882794,13.041042655882794,13.041042655882794,-259.2077578776639,-259.2077578776639,-259.2077578776639,0.0,0.0,0.0,211.3897892067929
20,2014-10-07,456.999340865772,-1233.660828798687,1438.637865984131,456.999340865772,456.999340865772,-280.10682093382593,-280.10682093382593,-280.10682093382593,-0.17260871522727592,-0.17260871522727592,-0.17260871522727592,-279.93421221859865,-279.93421221859865,-279.93421221859865,0.0,0.0,0.0,176.89251993194608
21,2014-10-08,456.44217730297004,-1261.8184931565995,1388.662570523669,456.44217730297004,456.44217730297004,-293.6668367919746,-293.6668367919746,-293.6668367919746,3.208377825858935,3.208377825858935,3.208377825858935,-296.8752146178336,-296.8752146178336,-296.8752146178336,0.0,0.0,0.0,162.77534051099542
22,2014-10-09,455.8850137401681,-1169.2621025271305,1478.5872797034292,455.8850137401681,455.8850137401681,-324.14922512521315,-324.14922512521315,-324.14922512521315,-14.45450039880822,-14.45450039880822,-14.45450039880822,-309.69472472640496,-309.69472472640496,-309.69472472640496,0.0,0.0,0.0,131.73578861495497
23,2014-10-10,455.32785017736614,-1160.3888492716414,1402.464854902717,455.32785017736614,455.32785017736614,-320.70887635965465,-320.70887635965465,-320.70887635965465,-2.5839103911082786,-2.5839103911082786,-2.5839103911082786,-318.12496596854635,-318.12496596854635,-318.12496596854635,0.0,0.0,0.0,134.6189738177115
24,2014-10-11,454.7706866145641,-1227.899114770315,1592.0372412802187,454.7706866145641,454.7706866145641,-312.8581626722722,-312.8581626722722,-312.8581626722722,9.118442295398324,9.118442295398324,9.118442295398324,-321.97660496767054,-321.97660496767054,-321.97660496767054,0.0,0.0,0.0,141.9125239422919
25,2014-10-12,454.21352305176214,-1213.3116938851651,1567.0609330435775,454.21352305176214,454.21352305176214,-329.30414601494505,-329.30414601494505,-329.30414601494505,-8.156843271886476,-8.156843271886476,-8.156843271886476,-321.14730274305856,-321.14730274305856,-321.14730274305856,0.0,0.0,0.0,124.90937703681709
26,2014-10-13,453.65635948896016,-1103.4687625703227,1477.711530225472,453.65635948896016,453.65635948896016,-302.5873078298523,-302.5873078298523,-302.5873078298523,13.041042655890974,13.041042655890974,13.041042655890974,-315.6283504857433,-315.6283504857433,-315.6283504857433,0.0,0.0,0.0,151.06905165910786
27,2014-10-14,453.0991959261582,-1206.550057808002,1546.6289759603972,453.0991959261582,453.0991959261582,-305.68175457273543,-305.68175457273543,-305.68175457273543,-0.17260871522489038,-0.17260871522489038,-0.17260871522489038,-305.5091458575105,-305.5091458575105,-305.5091458575105,0.0,0.0,0.0,147.41744135342276
28,2014-10-15,452.5420323633562,-1278.647030962305,1467.99936930096,452.5420323633562,452.5420323633562,-287.77093892767107,-287.77093892767107,-287.77093892767107,3.2083778258367524,3.2083778258367524,3.2083778258367524,-290.9793167535078,-290.9793167535078,-290.9793167535078,0.0,0.0,0.0,164.77109343568515
29,2014-10-16,451.9848688005543,-1148.8307415449985,1497.9336742969338,451.9848688005543,451.9848688005543,-286.78285749917234,-286.78285749917234,-286.78285749917234,-14.454500398855378,-14.454500398855378,-14.454500398855378,-272.32835710031696,-272.32835710031696,-272.32835710031696,0.0,0.0,0.0,165.20201130138196
30,2014-10-17,451.4277052377523,-1026.3428014412461,1464.7649090809364,451.4277052377523,451.4277052377523,-252.52661249495048,-252.52661249495048,-252.52661249495048,-2.583910391205905,-2.583910391205905,-2.583910391205905,-249.94270210374455,-249.94270210374455,-249.94270210374455,0.0,0.0,0.0,198.90109274280184
31,2014-10-18,450.87054167495035,-1087.0800486259614,1489.3738565573192,450.87054167495035,450.87054167495035,-215.18179449632171,-215.18179449632171,-215.18179449632171,9.118442295357434,9.118442295357434,9.118442295357434,-224.30023679167914,-224.30023679167914,-224.30023679167914,0.0,0.0,0.0,235.68874717862863
32,2014-10-19,450.31337811214837,-1055.5235600047208,1534.5649302537433,450.31337811214837,450.31337811214837,-204.11914325856907,-204.11914325856907,-204.11914325856907,-8.15684327192698,-8.15684327192698,-8.15684327192698,-195.9622999866421,-195.9622999866421,-195.9622999866421,0.0,0.0,0.0,246.1942348535793
33,2014-10-20,449.7562145493464,-956.0896053124405,1583.0341915244173,449.7562145493464,449.7562145493464,-152.52227148966193,-152.52227148966193,-152.52227148966193,13.041042655899151,13.041042655899151,13.041042655899151,-165.5633141455611,-165.5633141455611,-165.5633141455611,0.0,0.0,0.0,297.23394305968446
34,2014-10-21,449.1990509865444,-934.1246272768009,1660.190779381132,449.1990509865444,449.1990509865444,-133.97084667476267,-133.97084667476267,-133.97084667476267,-0.1726087152225027,-0.1726087152225027,-0.1726087152225027,-133.79823795954016,-133.79823795954016,-133.79823795954016,0.0,0.0,0.0,315.2282043117817
35,2014-10-22,448.6418874237425,-989.6746830313945,1663.8595199148165,448.6418874237425,448.6418874237425,-98.19972352416788,-98.19972352416788,-98.19972352416788,3.2083778258145728,3.2083778258145728,3.2083778258145728,-101.40810134998245,-101.40810134998245,-101.40810134998245,0.0,0.0,0.0,350.4421638995746
36,2014-10-23,448.08472386094047,-951.2483544164659,1693.0141520162097,448.08472386094047,448.08472386094047,-83.61844013972242,-83.61844013972242,-83.61844013972242,-14.454500398780702,-14.454500398780702,-14.454500398780702,-69.16393974094171,-69.16393974094171,-69.16393974094171,0.0,0.0,0.0,364.466283721218
37,2014-10-24,447.5275602981385,-925.0166174869746,1794.9402482534547,447.5275602981385,447.5275602981385,-40.433404946119914,-40.433404946119914,-40.433404946119914,-2.5839103911454253,-2.5839103911454253,-2.5839103911454253,-37.84949455497449,-37.84949455497449,-37.84949455497449,0.0,0.0,0.0,407.09415535201856
38,2014-10-25,446.9703967353365,-820.0403924593692,1808.189495572759,446.9703967353365,446.9703967353365,0.8753540308573035,0.8753540308573035,0.8753540308573035,9.118442295368714,9.118442295368714,9.118442295368714,-8.24308826451141,-8.24308826451141,-8.24308826451141,0.0,0.0,0.0,447.8457507661938
39,2014-10-26,446.41323317253455,-948.3360628262278,1711.9794122550306,446.41323317253455,446.41323317253455,10.744042999538467,10.744042999538467,10.744042999538467,-8.156843271901321,-8.156843271901321,-8.156843271901321,18.90088627143979,18.90088627143979,18.90088627143979,0.0,0.0,0.0,457.157276172073
40,2014-10-27,445.8560696097326,-825.3701289560179,1822.4373218668557,445.8560696097326,445.8560696097326,55.91144474143522,55.91144474143522,55.91144474143522,13.04104265590008,13.04104265590008,13.04104265590008,42.87040208553513,42.87040208553513,42.87040208553513,0.0,0.0,0.0,501.7675143511678
41,2014-10-28,445.29890604693065,-804.7838523933875,1885.2097280754733,445.29890604693065,445.29890604693065,62.84108260824102,62.84108260824102,62.84108260824102,-0.17260871521267618,-0.17260871521267618,-0.17260871521267618,63.01369132345369,63.01369132345369,63.01369132345369,0.0,0.0,0.0,508.1399886551717
42,2014-10-29,444.7417424841287,-802.4676322760567,1868.4593077241714,444.7417424841287,444.7417424841287,81.96450823864727,81.96450823864727,81.96450823864727,3.2083778258712052,3.2083778258712052,3.2083778258712052,78.75613041277607,78.75613041277607,78.75613041277607,0.0,0.0,0.0,526.706250722776
43,2014-10-30,444.1845789213267,-845.8808531597327,1839.7918681852357,444.1845789213267,444.1845789213267,75.16116784068471,75.16116784068471,75.16116784068471,-14.454500398827863,-14.454500398827863,-14.454500398827863,89.61566823951257,89.61566823951257,89.61566823951257,0.0,0.0,0.0,519.3457467620115
44,2014-10-31,443.62741535852473,-798.2036809005547,1800.6049603164593,443.62741535852473,443.62741535852473,92.63246622378882,92.63246622378882,92.63246622378882,-2.583910391151461,-2.583910391151461,-2.583910391151461,95.21637661494029,95.21637661494029,95.21637661494029,0.0,0.0,0.0,536.2598815823136
45,2014-11-01,443.07025179572275,-741.5035278105591,1975.05561052311,443.07025179572275,443.07025179572275,104.418184460121,104.418184460121,104.418184460121,9.118442295379994,9.118442295379994,9.118442295379994,95.299742164741,95.299742164741,95.299742164741,0.0,0.0,0.0,547.4884362558438
46,2014-11-02,442.5130882329208,-813.609044118884,1872.8715659125955,442.5130882329207,442.5130882329207,81.57652610377818,81.57652610377818,81.57652610377818,-8.15684327190641,-8.15684327190641,-8.15684327190641,89.73336937568459,89.73336937568459,89.73336937568459,0.0,0.0,0.0,524.089614336699
47,2014-11-03,441.95592467011875,-815.8253917930854,1873.47994680754,441.95592467011875,441.95592467011875,91.55786737566302,91.55786737566302,91.55786737566302,13.041042655897533,13.041042655897533,13.041042655897533,78.5168247197655,78.5168247197655,78.5168247197655,0.0,0.0,0.0,533.5137920457818
48,2014-11-04,441.3987611073169,-757.1457309935176,1748.0630444013286,441.3987611073169,441.3987611073169,61.61181136575026,61.61181136575026,61.61181136575026,-0.17260871523264,-0.17260871523264,-0.17260871523264,61.784420080982905,61.784420080982905,61.784420080982905,0.0,0.0,0.0,503.01057247306716
49,2014-11-05,440.84159754451485,-877.8601041755905,1815.7839224830143,440.84159754451485,440.84159754451485,43.013186277970654,43.013186277970654,43.013186277970654,3.208377825832788,3.208377825832788,3.208377825832788,39.80480845213787,39.80480845213787,39.80480845213787,0.0,0.0,0.0,483.8547838224855
50,2014-11-06,440.2844339817129,-822.4051100319874,1884.0406261497242,440.2844339817129,440.2844339817129,-1.477156264570514,-1.477156264570514,-1.477156264570514,-14.454500398875021,-14.454500398875021,-14.454500398875021,12.977344134304508,12.977344134304508,12.977344134304508,0.0,0.0,0.0,438.80727771714237
51,2014-11-07,439.7272704189109,-943.583245399887,1769.6021213977938,439.7272704189109,439.7272704189109,-20.758668959568176,-20.758668959568176,-20.758668959568176,-2.583910391157496,-2.583910391157496,-2.583910391157496,-18.174758568410677,-18.174758568410677,-18.174758568410677,0.0,0.0,0.0,418.9686014593427
52,2014-11-08,439.17010685610893,-1055.754855413299,1698.1811644023962,439.17010685610893,439.17010685610893,-43.89590976750198,-43.89590976750198,-43.89590976750198,9.11844229539567,9.11844229539567,9.11844229539567,-53.01435206289766,-53.01435206289766,-53.01435206289766,0.0,0.0,0.0,395.27419708860697
53,2014-11-09,438.61294329330696,-922.8334061502773,1575.1614027932396,438.6129432933069,438.6129432933069,-98.96001449572579,-98.96001449572579,-98.96001449572579,-8.156843271916168,-8.156843271916168,-8.156843271916168,-90.80317122380963,-90.80317122380963,-90.80317122380963,0.0,0.0,0.0,339.6529287975812
54,2014-11-10,438.05577973050504,-1033.4598597719544,1632.4881359072542,438.05577973050504,438.05577973050504,-117.67622288928712,-117.67622288928712,-117.67622288928712,13.04104265589846,13.04104265589846,13.04104265589846,-130.7172655451856,-130.7172655451856,-130.7172655451856,0.0,0.0,0.0,320.3795568412179
55,2014-11-11,437.49861616770306,-979.7358400562889,1597.9106007160312,437.49861616770306,437.49861616770306,-172.0373135451572,-172.0373135451572,-172.0373135451572,-0.17260871523025442,-0.17260871523025442,-0.17260871523025442,-171.86470482992695,-171.86470482992695,-171.86470482992695,0.0,0.0,0.0,265.4613026225459
56,2014-11-12,436.9414526049011,-1099.4464681786576,1565.512758695036,436.9414526049011,436.9414526049011,-210.09677552870914,-210.09677552870914,-210.09677552870914,3.208377825858132,3.208377825858132,3.208377825858132,-213.3051533545673,-213.3051533545673,-213.3051533545673,0.0,0.0,0.0,226.84467707619194
57,2014-11-13,436.3842890420991,-1129.6990772072552,1501.110364400995,436.3842890420991,436.3842890420991,-268.5253553991487,-268.5253553991487,-268.5253553991487,-14.454500398863635,-14.454500398863635,-14.454500398863635,-254.07085500028506,-254.07085500028506,-254.07085500028506,0.0,0.0,0.0,167.85893364295043
58,2014-11-14,435.82712547929714,-1198.1988820483875,1556.8506652880046,435.82712547929714,435.82712547929714,-295.77244104083286,-295.77244104083286,-295.77244104083286,-2.5839103911886068,-2.5839103911886068,-2.5839103911886068,-293.1885306496443,-293.1885306496443,-293.1885306496443,0.0,0.0,0.0,140.05468443846428
59,2014-11-15,435.26996191649516,-1241.8242630530015,1466.7609778403194,435.26996191649516,435.26996191649516,-320.5832181427566,-320.5832181427566,-320.5832181427566,9.118442295350384,9.118442295350384,9.118442295350384,-329.701660438107,-329.701660438107,-329.701660438107,0.0,0.0,0.0,114.68674377373856
60,2014-11-16,434.71279835369324,-1279.5800354091416,1352.6657107547367,434.71279835369324,434.71279835369324,-370.8494513793664,-370.8494513793664,-370.8494513793664,-8.156843271925926,-8.156843271925926,-8.156843271925926,-362.6926081074405,-362.6926081074405,-362.6926081074405,0.0,0.0,0.0,63.86334697432682
61,2014-11-17,434.15563479089127,-1265.159452625562,1406.0622743503388,434.15563479089127,434.15563479089127,-378.2630006308443,-378.2630006308443,-378.2630006308443,13.041042655899387,13.041042655899387,13.041042655899387,-391.3040432867437,-391.3040432867437,-391.3040432867437,0.0,0.0,0.0,55.89263416004695
62,2014-11-18,433.59847122808924,-1362.737196994573,1291.2567690670444,433.59847122808924,433.59847122808924,-414.93173890962385,-414.93173890962385,-414.93173890962385,-0.1726087152278678,-0.1726087152278678,-0.1726087152278678,-414.759130194396,-414.759130194396,-414.759130194396,0.0,0.0,0.0,18.666732318465392
63,2014-11-19,433.04130766528726,-1347.214052246561,1257.88417857399,433.04130766528726,433.04130766528726,-429.17159999284826,-429.17159999284826,-429.17159999284826,3.208377825867241,3.208377825867241,3.208377825867241,-432.3799778187155,-432.3799778187155,-432.3799778187155,0.0,0.0,0.0,3.869707672439006
